product_name,description,manufacturer
Ayumi Be You Doll / Plush / Soft Toy "LOVE" 38 cm with Glitter Trailer by Nici,"The world of the AYUMIS - Incredibly, Individually and with special abilities. The name AYUMI has his origin in the Japanese and means ""you goes her way"". With your glittering eyes AYUMIS look till your soul. They listen to you and always stand by you. As well as you, every AYUMI is unique and has a special ability. Secret [HIMITSU] feels how it goes for you and always stands by you. She is mysterious and profound. She rests in herself and is receptive to moods. She feels how it goes for you. She knows exactly in which state of mind you just are and always stands by you. LOVE lends [OW] you courage to stand to yourself. She is courageous and self-confidently NO says you also sometimes if to her is disagreeable a little bit. She feels if you are unsafe and lends you courage to stand to yourself and to represent your own opinion. FUN [TANOSHIMA] provides for the fact that you will always have fun. She is crazy funnily and a little bit. She has no prejudices and accepts you as well as you are. She brings magic and imagination in your soul. HOPE [KIBOU] helps you to find your own way. She is steadfast and patient. She is wise like an angel. Tell her your wishes and dreams.",Ayumi
Pintoy Wooden Shut The Box,"Product Description Now you can feed BABY born with pleasure. And thanks to the safety cap, nothing can spill during transport. Box Contains 1 x Wooden gamebox2 x dice",Pintoy
Ultra Pro Dual Deck Box [Toy],,Ultra Pro
Bigjigs Toys Shut The Box,"Shut The Box is a fun game that will help youngsters to improve their numeracy skills. Roll the pair of dice and 'shut' tiles which equal the total of the dice roll. Continue play to 'Shut The Box' and win, or until no more tiles can be shut. Educational and fun, it can be played by one or more players. This wooden version of Shut The Box is played within a traditionally crafted wooden frame featuring a felt playing board. Made from high quality, responsibly sourced materials. Conforms to current European safety standards. Age 3+ years. Width: 270mm, Depth: 195mm. Consists of 3 play pieces.Founded in June 1985, Bigjigs Toys is a family operated business which has never lost sight of its roots. Our mission is to deliver quality, safe and affordable products, which are responsibly sourced and complement childhood through fun, exploration and learning. We believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come.",Bigjigs Toys
WHATWEARS Sd Die D4 D6 D8 D10 D12 D20 MTG RPG D&D DND Poly Dices Pearl Green 7pcs,"Description: Feature: - Brand New & High Quality - Show off your gaming skills with this in many board and RPG games DND Dungeons and - Dragons, MTG Magic the Gathering Specifications: - Material: Plastic - Color: Green - Quantity: 1 set(7pcs) - One set of 7 Polyhedral Dice - Each set contains the following Dice: 1 Four Sided 1 Six Sided 1 Eight Sided 1 Ten sided (numbered 0-9) 1 Ten sided (numbered 00-90) 1 Twelve sided 1 Twenty sided Package includes: - 1x Set",WHATWEARS
Polyhedral 7-Die Opaque Dice Set - Green with White [Toy],"Opaque dice are made of a particularly dense material for a better feel when rolling. This material also allows for flatter faces and sharper edges. The wide variety of colors is also very consistent so that an opaque Chessex die from years ago will match those available today. These dice are very economical, at a fraction of the cost of others. This set contains one d20, one d12, two d10 (00-90 and 0-9), one d8, one d6, and one d4. (d4, d6, d8, d10, d12, d20 & d00)",Chessex
Chessex Dice: Polyhedral 7-Die Opaque Dice Set - Yellow with Black [Toy],"Opaque dice are made of a particularly dense material for a better feel when rolling. This material also allows for flatter faces and sharper edges. The wide variety of colors is also very consistent so that an opaque Chessex die from years ago will match those available today. These dice are very economical, at a fraction of the cost of others. This set contains one d20, one d12, two d10 (00-90 and 0-9), one d8, one d6, and one d4. (d4, d6, d8, d10, d12, d20 & d00)",Chessex
Galt Toys All Aboard,"Product Description Two fun games in one with these double-sided playing boards in the shape of vehicles! Roll the colour spot dice to collect the coloured windows for your vehicles. Turn your vehicle over and all aboard as you spin the spinner and collect passengers in shaped windows. Designed to help young children develop colour and shape matching skills. For 2 to 4 players. Box Contains 4 double-sided playing boards ñ size: 24 x 18cm ( 9Ω"" x 7"")24 square coloured cards ñ size: 3.6 x 3.6cm (1Ω""x 1Ω"") 24 shaped passenger cards,spinner colour spot dice dice shaker guide.",Galt Toys
WHATWEARS D20 Gaming Dice Twenty Sd Die RPG D&D Set of 6 Six Opaque Color,"D20 Gaming Dice Twenty Sided Die RPG D&D Set of 6 Six Opaque Color Description: Feature: - Brand New & High Quality - Show off your gaming skills with this in many board and RPG games DND Dungeons and - Dragons, MTG Magic the Gathering Specifications: - Material: Plastic - Quantity: 6 Dice - Type: D20 (twenty-sided) Set - Pattern: Opaque - Primary Color: Multi-Color - Number/Pip Color: Black - Size: 20mm (approx.7.8 inch) Package includes: - 1x D20 Gaming Dice Twenty Sided Die RPG D&D Set of 6 Six Opaque Color",WHATWEARS
Galt Toys Pirate Pursuit,"Product Description A pirate track game with a wind-up pirate galleon to sail around the treasure island and add to the fun. Be the first player to fill your loot bag with coins from the treasure chest before the pirates catch up with you in their galleon. Designed to encourage young children to learn to count while having fun. For 2 to 4 players. Box Contains game board ñ size: 43 x 54cm (17"" x 21º"") wind-up pirate galleon,4 loot bag boards,24 play coins,4 pirate counters with stands dice dice shaker, guide.",Galt Toys
Chessex Dice: Polyhedral 7-Die Opaque Dice Set - Ivory with Black [Toy],"Opaque dice are made of a particularly dense material for a better feel when rolling. This material also allows for flatter faces and sharper edges. The wide variety of colors is also very consistent so that an opaque Chessex die from years ago will match those available today. These dice are very economical, at a fraction of the cost of others. This set contains one d20, one d12, two d10 (00-90 and 0-9), one d8, one d6, and one d4. (d4, d6, d8, d10, d12, d20 & d00)",Chessex
Bigjigs Toys Animal Shut the Box,"A traditional game with a modern Bigjigs twist! Race your opponent to flip down each of the animals on your side, as you take it in turns to spin the dial and try to land on all eight of the animals, one after the other. The first to flip down all of their animals is crowned the winner. Made from high quality, responsibly sourced materials. Conforms to current European safety standards. Age 3+ years. Width: 280mm.Founded in June 1985, Bigjigs Toys is a family operated business which has never lost sight of its roots. Our mission is to deliver quality, safe and affordable products, which are responsibly sourced and complement childhood through fun, exploration and learning. We believe that the best toys are powered by creativity and imaginative play and strive to produce toys that are cherished and enjoyed for years to come.",Bigjigs Toys
Polyhedral 7-Die Scarab Dice Set - Royal Blue with Gold [Toy],Polyhedral 7-Die Scarab Dice Set - Royal Blue with Gold [Toy],Chessex
Polyhedral 7-Die Borealis Dice Set - Magenta with Gold [Toy],"A set of 7 polyhedral dice, suitable for roleplaying.",Polyhedral
Polyhedral 7-Die Opaque Dice Set - Purple with White [Toy],"Opaque dice are made of a particularly dense material for a better feel when rolling. This material also allows for flatter faces and sharper edges. The wide variety of colors is also very consistent so that an opaque Chessex die from years ago will match those available today. These dice are very economical, at a fraction of the cost of others. This set contains one d20, one d12, two d10 (00-90 and 0-9), one d8, one d6, and one d4. (d4, d6, d8, d10, d12, d20 & d00)",Chessex
WHATWEARS Sd Die D4 D6 D8 D10 D12 D20 MTG RPG D&D DND Poly Dices Pearl Orange 7pcs,"Description: Feature: - Brand New & High Quality - Show off your gaming skills with this in many board and RPG games DND Dungeons and - Dragons, MTG Magic the Gathering Specifications: - Material: Plastic - Color: Orange - Quantity: 1 set(7pcs) - One set of 7 Polyhedral Dice - Each set contains the following Dice: 1 Four Sided 1 Six Sided 1 Eight Sided 1 Ten sided (numbered 0-9) 1 Ten sided (numbered 00-90) 1 Twelve sided 1 Twenty sided Package includes: - 1x Set",WHATWEARS
Rockets Toys Rainbow Towers,"Product Description Match the colours to complete a tower! The first to complete a tower by matching the colours wins the game. Rainbow Towers is entertaining and educational, helping children with colour recognition and manipulation. Simply throw the correct colours on the die to build a tower using the easy-to-handle rainbow beads.Contents:24 Beads (4 each in 6 colours)4 Towers2 Colour cards1 Coloured die1 Plastic baseRules leaflet Box Contains 4 wooden towers and 24 coloured beads.",Rockets Toys
Polyhedral 7-Die Borealis Dice Set - Sky Blue with White [Toy],"Signature dice are a compilation of the best selling colors of new dice released in the past few years. It includes a wide variety of colors and materials, but each is a unique and interesting addition to any dice collection. This set contains one d20, one d12, two d10 (00-90 and 0-9), one d8, one d6, and one d4.",Chessex
Boys Girls Children Kids Arts & Crafts Activity Set Latest Birthday Gift Present Fun Games & Toys Idea Age 8+,"Be creative! Turn ordinary tiles into masterpieces. Attached rubber magnets and make them cool fridge magnets.Contains:12 pcs of tiles, Rubber magnets, Double-sided adhesive tapes, 1 paint strip, 1 paint brush, Detailed instructions. Age 8+",Creative Fingers
Simba Toys 105957618 Filly Fairy - Ice - Advent Calendar,Filly Fairy Ice Advent Calendar,Simba Toys
Just4baby Magic Motion Sand 1.5kg 1500g Play Set Tub Castle & Animal Moulds Children Toy,"Have hours of fun with this magic sand playset, creating brilliant sand shapes or create your own sculptures. The Magic Sand is the squeezable sand where you can FEEL the fun! Pack it, pull it, shape it and love it, Motion Sand is so incredible you can't put it down. It's kinetic - meaning it sticks to itself and not to you! It's easy to shape and mould and flows through your fingers like a slow-moving liquid, but leaves them completely dry. Kinetic Sand stimulates children's creative skills allowing them to create anything they can imagine. It never dries out and is gluten free. This soft and stretchy sand easily cleans up while delivering non-stop fun! It's squeezable sand you can't put down. For ages 3 years and over.",just4baby
